pdb_id,chain,protein,is_actin
7utj,7utj_C,"Actin, alpha skeletal muscle",True
7utj,7utj_H,Catenin alpha-1,False
7utj,7utj_D,"Actin, alpha skeletal muscle",True
7utj,7utj_G,Catenin alpha-1,False
7utj,7utj_I,Catenin alpha-1,False
7utj,7utj_E,"Actin, alpha skeletal muscle",True
7utj,7utj_Z,Catenin alpha-1,False
7utj,7utj_F,"Actin, alpha skeletal muscle",True
7utj,7utj_K,Catenin alpha-1,False
7utj,7utj_L,Catenin alpha-1,False
8dnh,8dnh_A,"Actin, cytoplasmic 1, N-terminally processed",True
8dnh,8dnh_B,"Actin, cytoplasmic 1, N-terminally processed",True
8dnh,8dnh_C,"Actin, cytoplasmic 1, N-terminally processed",True
8dnh,8dnh_D,"Actin, cytoplasmic 1, N-terminally processed",True
6iug,6iug_A,pollen F-actin,True
6iug,6iug_B,pollen F-actin,True
6iug,6iug_C,pollen F-actin,True
6iug,6iug_D,pollen F-actin,True
6iug,6iug_E,pollen F-actin,True
8viz,8viz_A,"Actin, alpha skeletal muscle",True
8viz,8viz_B,"Actin, alpha skeletal muscle",True
8viz,8viz_C,"Actin, alpha skeletal muscle",True
8viz,8viz_D,"Actin, alpha skeletal muscle",True
8viz,8viz_E,"Actin, alpha skeletal muscle",True
8viz,8viz_F,"Actin, alpha skeletal muscle",True
8viz,8viz_G,Gelsolin,False
7uuw,7uuw_A,"Actin, alpha skeletal muscle",True
7uuw,7uuw_B,"Actin, alpha skeletal muscle",True
7uuw,7uuw_C,"Actin, alpha skeletal muscle",True
7uuw,7uuw_H,Alpha-catenin-like protein hmp-1,False
7uuw,7uuw_D,"Actin, alpha skeletal muscle",True
7uuw,7uuw_G,Alpha-catenin-like protein hmp-1,False
7uuw,7uuw_I,Alpha-catenin-like protein hmp-1,False
7uuw,7uuw_E,"Actin, alpha skeletal muscle",True
7uuw,7uuw_Z,Alpha-catenin-like protein hmp-1,False
7uuw,7uuw_F,"Actin, alpha skeletal muscle",True
7uuw,7uuw_K,Alpha-catenin-like protein hmp-1,False
7uuw,7uuw_L,Alpha-catenin-like protein hmp-1,False
8thy,8thy_A,Actin,True
8thy,8thy_B,Actin,True
8thy,8thy_C,Actin,True
8thy,8thy_D,Actin,True
8thy,8thy_E,Actin,True
9fjo,9fjo_A,"Actin, alpha skeletal muscle",True
9fjo,9fjo_B,"Actin, alpha skeletal muscle",True
9fjo,9fjo_C,"Actin, alpha skeletal muscle",True
9fjo,9fjo_D,"Actin, alpha skeletal muscle",True
8rtt,8rtt_A,"Actin, cytoplasmic 1, N-terminally processed",True
8rtt,8rtt_B,"Actin, cytoplasmic 1, N-terminally processed",True
8rtt,8rtt_C,"Actin, cytoplasmic 1, N-terminally processed",True
8rtt,8rtt_D,"Actin, cytoplasmic 1, N-terminally processed",True
8rtt,8rtt_E,Cell division control protein 12,False
8rtt,8rtt_F,Cell division control protein 12,False
8rv2,8rv2_A,"Actin, alpha skeletal muscle",True
8rv2,8rv2_B,"Actin, alpha skeletal muscle",True
8rv2,8rv2_C,"Actin, alpha skeletal muscle",True
8rv2,8rv2_D,"Actin, alpha skeletal muscle",True
8rv2,8rv2_E,Isoform 2 of Inverted formin-2,False
8rv2,8rv2_F,Isoform 2 of Inverted formin-2,False
8thx,8thx_A,Actin,True
8thx,8thx_B,Actin,True
8thx,8thx_C,Actin,True
8thx,8thx_D,Actin,True
8thx,8thx_E,Actin,True
9qfw,9qfw_A,"Actin, cytoplasmic 1, N-terminally processed",True
9qfw,9qfw_B,"Actin, cytoplasmic 1, N-terminally processed",True
9qfw,9qfw_C,"Actin, cytoplasmic 1, N-terminally processed",True
9qfw,9qfw_F,Cofilin-1,False
9qfw,9qfw_D,"Actin, cytoplasmic 1, N-terminally processed",True
9qfw,9qfw_G,Cofilin-1,False
9qfw,9qfw_E,"Actin, cytoplasmic 1, N-terminally processed",True
9qfw,9qfw_H,Cofilin-1,False
9qfw,9qfw_I,Cofilin-1,False
9qfw,9qfw_P,"WD repeat-containing protein 1,Methylated-DNA--protein-cysteine methyltransferase",False
9qfw,9qfw_J,Cofilin-1,False
